Mandarin,English,Spanish
旄,旄,旄
旌,Jing,jing
晏,Yan,yan
朕,I,I
朼,朜,朜
杳,dark and quiet,oscuro y tranquilo
柙,pen,bolígrafo
柒,seven,Siete
桓,Huan,Huan
桉,Eucalyptus,Eucalipto
栖,perch,perca
桎,桎,桎
梓,Zi,zi
梏,brace,abrazadera
楠,Nan,Yaya
楫,oar,remo
楝,neem,nim
楣,lintel,dintel
楬,peg,clavija
椽,rafter,viga
榨,squeeze,estrujar
槁,rotten,podrido
榭,pavilion,pabellón
槭,maple,arce
槿,hibiscus,hibisco
樽,bottle,botella
橢,oval,oval
櫛,comb,peine
檬,lemon,limón
檸,lemon,limón
櫫,Pu,PU
櫺,lattice,enrejado
歛,converge,converger
殄,exterminate,exterminar
毽,shuttlecock,volante
毿,shaggy,lanudo
氮,nitrogen,nitrógeno
汜,creek,arroyo
沌,Chaos,Caos
沂,Yi,yi
沏,steep,empinado
泄,vent,respiradero
泹,湳,湳
浣,raccoon,mapache
淦,Gan,gan
淖,mud,lodo
湮,submerged,sumergido
溲,urinate,orinar
滓,sediment,sedimento
漉,wet,húmedo
潢,pond,estanque
澹,Dan,Dan
瀋,sink,hundir
瀛,Ying,yin
烯,ene,ene
煦,warm,cálido
熏,smoke,fumar
燄,flame,llama
牝,female,femenino
牴,牴,牴
狡,cunning,astuto
猝,sudden,repentino
猾,sly,astuto
猻,狲,狲
玖,Jiu,jiu
琵,lute,laúd
琶,lute,laúd
璀,bright,brillante
璇,Xuan,xuan
璜,Huang,Huang
璨,gem,joya
畚,basket,cesta
疪,scab,costra
痊,recover from illness,recuperarse de la enfermedad
痙,spasm,espasmo
瘀,blood stasis,estasis sanguínea
痾,malady,enfermedad
瘟,plague,plaga
癰,carbuncle,ántrax
盃,cup,taza
眈,gaze intently,mirar fijamente
睏,Sleepy,Somnoliento
睬,pay attention,prestar atención
睽,stare,mirada fija
瞌,drowsy,soñoliento
碘,iodine,yodo
碉,blockhouse,blocao
祼,naked,desnudo
稟,endowment,dotación
窈,slim,delgado
窕,quiet and elegant,tranquilo y elegante
窖,cellar,bodega
窟,cave,cueva
窣,dart out,lanzarse
窸,disturbing noise,ruido molesto
箕,Skip,Saltar
篆,seal,sello
簌,sieve,tamiz
簣,basket for carrying soil,cesta para transportar tierra
粕,Meal,Comida
粟,millet,mijo
粵,Guangdong,Cantón
糜,Mi,Mi
紉,lava,lava
紈,white silk,seda blanca
紿,绐,绐
絹,silk,seda
綢,silk,seda
緞,satin,satín
緲,indistinct,indistinto
縝,careful,cuidadoso
縹,misty,brumoso
繹,interpret,interpretar
繾,loving,cariñoso
缽,bowl,bol
羔,lamb,cordero
羹,soup,sopa
翌,next,próximo
翦,scissors,tijeras
肘,elbow,codo
肴,meat dish,plato de carne
胥,Xu,Xu
胚,embryo,embrión
胝,callus,callo
胭,rouge,colorete
胼,Callus,Callo
胯,crotch,entrepierna
胺,amine,amina
脯,breast,mama
腴,plump,rechoncho
腧,腧,腧
膾,荍,荍
臊,smell of urine,olor a orina
舂,pound,libra
舅,uncle,tío
舵,rudder,timón
艇,boat,bote
荐,recommend,recomendar
茴,fennel,hinojo
荏,quickly,rápidamente
莓,raspberry,frambuesa
萋,luxuriant,exuberante
菡,Han,han
菇,mushroom,champiñón
蓁,Zhen,zhen
蕨,fern,helecho
薛,Xue,xue
藐,despise,despreciar
藻,algae,algas
虩,terrified,aterrorizado
蚓,earthworm,lombriz
蚵,oyster,ostra
蚱,grasshopper,saltamontes
蚯,earthworm,lombriz
蛔,roundworm,lombriz intestinal
蛤,Clam,Almeja
蜀,Shu,Shu
蜉,wasp,avispa
蜢,grasshopper,saltamontes
蜥,lizard,lagarto
蜴,chameleon,camaleón
蝗,locust,langosta
蝣,beetle,escarabajo
螻,mole,lunar
蟈,Grasshopper,Saltamontes
袪,dispel,disipar
袓,袓,袓
袤,vast,vasto
褚,Chu,Chu
褓,baby,bebé
褒,praise,elogio
褥,mattress,colchón
褻,obscene,obsceno
覷,watch for,estar atento a
訟,lawsuit,pleito
訛,false,FALSO
訢,happy,feliz
詎,讵,讵
詼,humorous,humorístico
誅,punish,castigar
詬,sense of shame,sensación de vergüenza
誣,false accusation,acusación falsa
誨,instruct,instruir
諫,admonish,amonestar
謔,tease,fastidiar
諤,Er,Eh
謅,make up,constituir
謢,袢,袢
謨,mo,mes
謫,disgrace,desgracia
貳,two,dos
賃,rent,alquilar
賸,leftover,sobrante
赭,ocher,ocre
踄,stagger,escalonar
踼,踼,踼
蹋,step on,pisar
蹙,frown,fruncir el ceño
躇,hesitate,dudar
蹭,rub,frotar
躊,hesitate,dudar
躋,among,entre
軋,roll,rollo
軔,brake,freno
軛,yoke,yugo
軸,axis,eje
轅,Yuan,Yuan
逡,shrink from,encogerse de
遨,excursion,excursión
遴,select,seleccionar
邇,near,cerca
鄒,Zou,Zou
鄴,Ye,S.M
酢,vinegar,vinagre
酶,enzyme,enzima
醋,vinegar,vinagre
醛,aldehyde,aldehído
釗,Zhao,zhao
鈕,button,botón
錕,Kun,Kun
鑠,melt,derretir
閔,Min,mín.
閘,brake,freno
閹,castrate,castrar
闇,dark,oscuro
陛,Your Majesty,Su Majestad
隄,embankment,terraplén
隳,destroy,destruir
雌,female,femenino
雛,Hina,hina
霄,Xiao,xiao
靂,Li,li
靦,shy,tímido
鞘,sheath,vaina
韙,骪,骪
韜,Tao,tao
頷,jaw,mandíbula
顎,jaw,mandíbula
顰,knit the brows,tejer las cejas
颶,hurricane,huracán
飩,ton,tonelada
餒,hungry,hambriento
餛,Chinese ravioli,ravioles chinos
饉,Taste,Gusto
饗,feast,banquete
駒,foal,potro
駴,駴,駴
騅,piebald,caballo pío
騾,mule,mula
驁,Ao,ao
驪,Li,li
髻,bun,bollo
鯊,shark,tiburón
鰣,shad,sábalo
鱒,trout,trucha
鳶,kite,cometa
鴕,ostrich,avestruz
鵠,swan,cisne
鹵,halogen,halógeno
麒,Qi,chi
麓,Lu,Lu
麩,bran,salvado
麾,rejoice,alegrarse
黜,dismiss,despedir
黠,cunning,astuto
黴,mold,moho
鼕,winter,invierno
齪,dirty,sucio
齷,filthy,asqueroso
亢,hyperactive,hiperactivo
亳,Bo,Bo
仟,thousand,mil
伉,couple,pareja
仳,part,parte
佗,Tuo,Tuo
佞,eloquent,elocuente
佚,Yi,yi
侍,waiter,mesero
佬,guy,chico
侖,Lun,lun
俚,slang,jerga
俞,Yu,Yu
俸,salary,salario
傖,rude,brusco
儂,Nong,nong
儐,best man,padrino de boda
儷,Li,li
儻,unexpectedly,inesperadamente
兀,Wu,Wu
剉,chop,cortar
剜,cut out,separar
剿,suppress,reprimir
勛,Xun,xun
勰,Xie,xie
匭,Huh,Eh
匾,plaque,placa
叟,old man,viejo
叼,hold in mouth,sostener en la boca
吁,appeal,apelar
吋,inches,pulgadas
吝,stingy,tacaño
呃,Well,Bien
呂,Lu,Lu
吩,order,orden
呇,Sorry,Lo siento
呤,whisper,susurro
哂,哂,哂
哖,哖,哖
哆,Duo,Dúo
唔,Hmm,Mmm
唄,chant,cantar
喲,Yo,yo
喫,eat,comer
喙,beak,pico
嗟,sigh,suspiro
嗦,wordy,verboso
嗥,howl,aullido
嗩,唢,唢
嗒,despair,desesperación
嗲,嗲,嗲
嘀,beep,bip
噗,puff,soplo
噉,taste,gusto
噘,pout,abadejo
噫,Alas,Ay
噤,silent,silencioso
噥,garrulous,gárrulo
噲,Kuai,Kuai
嚎,howl,aullido
嚓,Cha,Cha
嚙,bite,morder
囓,bite,morder
囝,child,niño
囪,chimney,tubo de lámpara
囤,store,almacenar
囫,whole,entero
圭,Gui,gui
圯,寯,寯
坌,dust,polvo
垣,wall,muro
垛,pile,montón
埆,円,円
堊,chalk,tiza
堙,mound,montículo
堭,堭,堭
塘,pond,estanque
塢,dock,muelle
塹,chasm,abismo
墻,wall,muro
壹,one,uno
奐,Huan,Huan
妁,Concubine,Concubina
妞,little girl,niña
姍,Shan,shan
姶,Yao,Yao
婢,slave girl,esclava
媛,Yuan,Yuan
媧,Wa,Washington
媾,marry,casarse
嬈,Rao,rao
嬏,Hu,hu
嫺,Xian,Xian
嬴,win,ganar
孑,larvae,larvas
孚,fu,fu
屘,Cunt,Coño
孳,breeding,cría
宥,Excuse me,Disculpe
宧,宧,宧
屣,slipper,zapatilla
屧,屟,屟
屨,sandals,sandalias
崁,Kan,kan
崙,Lun,lun
崧,Song,Canción
嵋,Mei,mei
嵬,lofty,elevado
嶇,rugged,escabroso
嶂,peak,cima
巇,ravine,barranco
巖,rock,roca
巘,嘘,嘘
幄,tent,carpa
幌,Hiro,Hiro
幗,Guo,guo
幡,banner,bandera
庄,village,aldea
庛,庛,庛
庾,Yu,Yu
廌,shabby,en mal estado
廇,Yunnan,Yunnan
廡,veranda,veranda
弈,chess,ajedrez
徂,傂,傂
徇,favoritism,favoritismo
忑,nervous,nervioso
忐,nervous,nervioso
忮,invasive,invasor
忤,disobedient,desobediente
怍,ashamed,avergonzado
恿,incite,incitar
悱,Sorrowful,Triste
愎,obstinate,obstinado
愆,transgression,transgresión
愿,willing,deseoso
慟,grief,dolor
慳,thrifty,ahorrativo
慼,Qi,chi
慫,Cowardly,Cobardemente
戌,Xu,Xu
戟,halberd,alabarda
戡,Can,Poder
扈,Hu,hu
扡,扡,扡
扙,扙,扙
拗,bend,doblar
拽,pull,jalar
拷,copy,Copiar
拴,tie,atar
拫,grab,agarrar
捍,defend,defender
捌,eight,ocho
挼,move,mover
掮,carry on shoulders,llevar sobre los hombros
捸,beat,derrotar
掅,Pluck,Arrancar
揖,Yi,yi
揠,pull up,levantar
搽,paint on,pintar sobre
搔,scratch,rascar
搐,twitch,contracción nerviosa
摁,press,prensa
摟,hug,abrazo
摑,slap,bofetada
搴,slap,bofetada
摭,歭,歭
撂,put down,poner
摜,whip,látigo
撓,scratch,rascar
撻,tart,tarta
擰,screw,tornillo
擢,pull out,extraer
擯,expel,expulsar
攆,expel,expulsar
擻,shake,agitar
晒,sun,sol
晾,air,aire
暄,Xuan,xuan
暌,in opposition to,en oposición a
暸,Got it,Entiendo
曜,Yao,Yao
曩,in the past,en el pasado
朸,朜,朜
杌,杌,杌
杵,pestle,majadero
杼,Zhu,Zhu
柬,Cambodia,Camboya
枸,wolfberry,baya de goji
枻,oar,remo
柏,cypress,ciprés
桀,Jie,jie
桅,mast,mástil
梧,Wu,Wu
梆,bang,estallido
棹,棹,棹
楷,regular script,guión regular
椹,mulberry,mora
榛,hazel,color avellana
槐,Sophora japonica,sophora japónica
榞,榞,榞
槤,梿,梿
樵,firewood,leña
檥,裣,裣
檮,梼,梼
櫓,scull,remar
欒,Luan,luan
欞,lattice,enrejado
欷,sob,sollozo
欸,Yeah,Sí
歆,Xin,Xin
歃,drink,beber
歟,椤,椤
殞,die,morir
瞉,False,FALSO
毓,Yu,Yu
汛,flood,inundación
沁,Qin,qin
汨,mi,mi
泓,Hong,hong
泅,submerge,sumergir
沬,沬,沬
泠,Ling,Abadejo
泫,weep,llorar
泝,Trace back,Averiguar
洫,洴,洴
洒,sprinkle,espolvorear
洙,Soo,así
浬,怬,怬
浹,惃,惃
浠,Xi,Xi
渙,Huan,Huan
湎,drunk,ebrio
湲,沲,沲
渫,get rid of,deshacerse de
湫,Qiu,Qiu
渧,槧,槧
溥,Pu,PU
溼,wet,húmedo
漳,Zhang,zhang
滬,Shanghai,Llevar a la fuerza
滷,halogen,halógeno
潦,flooded,inundado
濔,沵,沵
瀲,trough,canal
灝,Hao,hao
灩,Yan,yan
炷,stick,palo
焊,weld,soldar
烷,alkyl,alquilo
烴,hydrocarbon,hidrocarburo
焄,fumes from sacrifice,humos del sacrificio
焙,bake,hornear
煨,simmer,hervir a fuego lento
煖,warm,cálido
燧,flint,pedernal
爝,torch,antorcha
爰,love,amar
牒,dispatch,despacho
牖,lattice window,ventana de celosía
犄,wing of an army,ala de un ejército
犢,calf,becerro
狙,spy,espiar
狷,狷,狷
猥,rustic,rústico
猩,ape,mono
猷,You,Tú
猿,ape,mono
玆,hereby,por la presente
玦,Jue,jue
玷,blemish,defecto
珀,amber,ámbar
珺,Jun,Jun
琪,Qi,chi
琥,amber,ámbar
瑙,Nau,náu
瑧,瑧,瑧
瑾,Jin,Jin
璁,Brilliant,Brillante
璐,Lu,Lu
瓠,gourd,calabaza
甄,Zhen,zhen
甌,Ou,UNED
甭,Never mind,No importa
甯,rather,bastante
甸,Dian,Dian
畀,give,dar
疋,boil,hervir
疙,pimple,espinilla
疹,rash,erupción
痂,scab,costra
痍,bruise,moretón
痌,moan with pain,gemir de dolor
痣,mole,lunar
痠,acid,ácido
瘁,weary,cansado
瘩,boil,hervir
瘝,Fever,Fiebre
瘸,lame,aburrido
癇,epilepsy,epilepsia
癩,skin disease,enfermedad de la piel
癲,Epilepsy,Epilepsia
盥,wash,lavar
眇,subtle,sutil
睇,look,mirar
睨,look askance,mirar de reojo
瞅,look,mirar
瞟,cast a glance,echa un vistazo
瞰,overlook,pasar por alto
瞿,Qu,Qu
矓,hazy,brumoso
矽,Silicon,Silicio
矸,gangue,ganga
砥,whetstone,piedra de afilar
碓,pestle,majadero
碇,anchor,ancla
碣,stone tablet,tableta de piedra
碾,grind,moler
磐,Pan,Cacerola
磺,sulfur,azufre
礪,grind,moler
祀,worship,culto
祺,Qi,chi
禎,Zhen,zhen
禋,sacrifice,sacrificio
禢,禢,禢
禾,millet,mijo
秏,珏,珏
稷,Ji,Ji
穈,porridge,papilla
窠,nest,nido
窳,ugly,feo
竣,complete,completo
笳,Jia,Jia
筑,build,construir
筵,feast,banquete
箝,clamp,abrazadera
箔,foil,frustrar
箍,hoop,aro
箴,Proverb,Proverbio
篁,bamboo grove,bosque de bambú
篡,usurp,usurpar
篾,bamboo strips,tiras de bambú
篳,wicker,mimbre
簧,reed,caña
簪,hairpin,horquilla
簞,Tao,tao
籮,basket,cesta
粲,charming,encantador
糗,Embarrassing,Embarazoso
糢,mold,moho
糰,group,grupo
紘,Hong,hong
絀,shabby,en mal estado
紽,braid on a robe,trenza en una bata
紺,purple,púrpura
絞,twist,girar
絳,crimson,carmesí
綾,Aya,aya
綸,Lun,lun
緇,缁,缁
緋,Fei,fei
綖,cap tassel,borla de gorra
縉,Jin,Jin
縟,adorned,adornado
縴,Fiber,Fibra
縻,绻,绻
繖,umbrella,paraguas
纂,compile,compilar
纓,tassel,borla
罌,Poppy,Amapola
罣,罣,罣
翟,Zhai,Zhai
翹,warped,deformado
耆,Elderly,Anciano
聒,noisy,ruidoso
聶,Nie,nie
聿,Yu,Yu
肄,Stupid,Estúpido
肓,dying,muriendo
肛,anus,ano
胱,bladder,vejiga
胴,body,cuerpo
脛,shin,espinilla
腆,shy,tímido
膊,shoulder,hombro
臃,bloated,hinchado
臀,buttocks,nalgas
臚,胃,胃
臾,a moment,un momento
芵,Credit,Crédito
芧,small chestnut,castaño pequeño
芮,Rui,rui
苣,Endive,Endibia
苜,clover,trébol
苑,Garden,Jardín
芔,pirin,pirina
茹,Ru,ru
茗,Ming,Ming
茨,tz,tz
茜,Akane,akane
莠,蠠,蠠
荼,tea,té
堇,pansy,pensamiento
菰,mushroom,champiñón
葵,sunflower,girasol
萼,calyx,cáliz
萵,lettuce,lechuga
葩,Pai,pai
葺,repair,reparar
葰,谰,谰
葯,medicine,medicamento
蒿,Artemisia,artemisia
蒞,come,venir
蒜,garlic,ajo
蒺,Trillium,trilio
蒔,Shi,Shi
蓿,clover,trébol
蔻,khao,khao
蔪,wilt,marchitar
蔘,ginseng,ginseng
薔,rose,rosa
薊,thistle,cardo
藪,薮,薮
藕,lotus root,raíz de loto
蘑,mushroom,champiñón
蘚,Moss,Musgo
蘸,dip,aderezo
蚪,tadpole,renacuajo
蚤,flea,pulga
蚌,mussel,mejillón
蚣,earthworm,lombriz
蛀,termite,termita
蛭,leech,sanguijuela
蛩,cricket,cricket
蜓,dragonfly,libélula
蜈,centipede,ciempiés
蜃,mirage,espejismo
蜆,clam,almeja
蛺,butterfly,mariposa
蜚,Fei,fei
蝌,tadpole,renacuajo
蟆,toad,sapo
螫,sting,picadura
螯,chela,garra del insecto
蠅,fly,volar
蠣,oyster,ostra
蠹,beetles,escarabajos
衢,thoroughfare,vía pública
袂,sleeve of a robe,manga de una bata
衿,Jin,Jin
袒,bare,desnudo
裎,take off clothes,quitarse la ropa
裘,fur,pelo
裱,frame,marco
裾,train,tren
褊,narrow,angosto
褸,jacket,chaqueta
襤,ragged,harapiento
襬,put,poner
覃,Qin,qin
觚,Gou,gou
觴,feast,banquete
訐,criticize,criticar
訕,slander,calumnia
訖,finished,finalizado
訥,Ne,Nordeste
詆,slander,calumnia
訶,blame,culpa
諄,sincerely,atentamente
誹,slander,calumnia
諓,蓓,蓓
諜,spy,espiar
謁,visit,visita
諡,posthumous title,título póstumo
謗,slander,calumnia
譁,Wow,Guau
豇,cowpea,caupí
豉,soybean,haba de soja
豕,hog,cerdo
豳,Bin,Papelera
貽,Yi,yi
賒,buy on credit,comprar a crédito
賬,account,cuenta
赧,blush,rubor
赦,amnesty,amnistía
趺,instep,empeine
跤,wrestle,luchar
踝,ankle,tobillo
踟,hesitant,vacilante
蹇,jian,jian
蹚,trip,viaje
蹩,limp,cojear
躕,undecided,indeciso
躚,蹹,蹹
躡,chase,perseguir
軾,Shi,Shi
輊,轾,轾
輀,耀,耀
輓,pull,jalar
轆,reel,carrete
迆,winding,devanado
迓,receive as a guest,recibir como invitado
迨,訨,訨
迼,迼,迼
逋,Stupid,Estúpido
逭,escape,escapar
遄,Trent,Trento
遯,escape,escapar
郢,Ying,yin
鄔,Wu,Wu
酊,tincture,tintura
酐,anhydride,anhídrido
酗,drunk,ebrio
酖,poison,veneno
酡,flushed,sonrojado
酩,drunken,borracho
酮,ketone,cetona
醐,醐,醐
醍,鍍,鍍
醱,Fragrant,Fragante
釜,kettle,pava
鈙,鈙,鈙
鈷,cobalt,cobalto
鉤,hook,gancho
鈿,Tin,Estaño
鉻,chromium,cromo
銑,Milling,Molienda
鋅,zinc,zinc
鋏,sword,espada
鋌,collar,cuello
銹,rust,óxido
錳,manganese,manganeso
鍍,plating,enchapado
鎂,magnesium,magnesio
錨,anchor,ancla
錘,hammer,martillo
鍬,shovel,pala
鍰,锾,锾
鎊,pound,libra
鎳,nickel,níquel
鎬,pick,elegir
鎚,hammer,martillo
鎗,gun,pistola
鏈,chain,cadena
鏢,dart,dardo
鐮,sickle,hoz
鐺,clang,sonido metálico
鐲,bracelet,pulsera
鑣,darts,dardos
鑪,furnace,horno
鑾,Luan,luan
閏,leap,salto
閶,gate of heaven,puerta del cielo
闃,阒,阒
闓,Kai,Kai
阨,Er,Eh
隋,Sui,sui
陲,frontier,frontera
隼,Falcon,Halcón
雍,Yong,yong
雋,Jun,Jun
雉,Pheasant,Faisán
雩,雯,雯
霆,Ting,tintineo
霹,clap,aplaudir
霽,Ji,Ji
靶,target,objetivo
靳,Jin,Jin
鞏,Gong,Gong
鞬,鬬,鬬
韭,leek,Puerro
韾,韶,韶
頇,顸,顸
頡,Jie,jie
頤,Yi,yi
餌,bait,carnada
餞,preserves,conservas
餡,filling,relleno
餚,meat dish,plato de carne
餬,paste,pasta
餮,gluttonous,glotón
饌,Food,Alimento
饕,gluttonous,glotón
饜,satisfied,satisfecho
馭,control,control
駟,Si,Si
駿,Jun,Jun
騖,greedy,avaro
驄,Cong,cong
骷,skeleton,esqueleto
髏,skull,cráneo
髦,mane,melena
髫,Tiao,tiao
髭,mustache,bigote
鬃,bristle,cerda
鬨,coax,engatusar
鬩,evil,demonio
魷,squid,calamar
鯽,crucian carp,carpa cruciana
鯖,mackerel,caballa
鰓,gill,branquia
鰻,eel,Anguila
鴝,robin,petirrojo
鵲,magpie,urraca
鶚,osprey,águila pescadora
鶩,duck,pato
鷂,Harrier,Aguilucho
鸝,oriole,oriol
黥,tattoo,tatuaje
黧,dark,oscuro
黷,blacken,ennegrecer
齧,bite,morder
